id,make,model,model_year,kilometers,transmission_type,price,priced_at,mileage_category,extra_features_count,model_age,price_moving_avg,competitor_price_diff,popularity,price_change_pct,dt_year,dt_month,dt_day,dt_quarter
10044,Nissan,Juke,2013,89999.0,Automatic,225000,2022-04-21,50k-100k,26,9,205600,-34748.768472906406,0.31,0.06635071090047395,2022,4,21,2
10045,Nissan,Juke,2013,89999.0,Automatic,206000,2022-04-21,50k-100k,26,9,210800,-53748.768472906406,0.31,-0.08444444444444443,2022,4,21,2
10046,Nissan,Juke,2013,39999.0,Automatic,257000,2022-04-21,0-50k,26,9,210800,-2748.768472906406,0.31,0.24757281553398047,2022,4,21,2
6065,Nissan,Juke,2013,89999.0,Automatic,248000,2022-04-22,50k-100k,26,9,224800,-11748.768472906406,0.31,-0.035019455252918275,2022,4,22,2
14506,Nissan,Juke,2013,89999.0,Automatic,231000,2022-04-29,50k-100k,26,9,229400,-28748.768472906406,0.31,-0.06854838709677424,2022,4,29,2
14508,Nissan,Juke,2013,29999.0,Automatic,172000,2022-04-29,0-50k,26,9,233400,-87748.7684729064,0.31,-0.2554112554112554,2022,4,29,2
14537,Nissan,Juke,2013,9000.0,Automatic,211000,2022-04-29,0-50k,26,9,222800,-48748.768472906406,0.31,0.2267441860465116,2022,4,29,2
6304,Nissan,Juke,2013,9999.0,Automatic,246000,2022-05-08,0-50k,26,9,223800,-13748.768472906406,0.31,0.16587677725118488,2022,5,8,2
13583,Nissan,Juke,2013,115000.0,Automatic,239000,2022-05-09,100k-150k,26,9,221600,-20748.768472906406,0.31,-0.028455284552845517,2022,5,9,2
4301,Nissan,Juke,2013,119999.0,Automatic,174000,2022-05-17,100k-150k,26,9,219800,-85748.7684729064,0.31,-0.2719665271966527,2022,5,17,2
4305,Nissan,Juke,2013,79999.0,Automatic,235000,2022-05-17,50k-100k,26,9,208400,-24748.768472906406,0.31,0.35057471264367823,2022,5,17,2
4306,Nissan,Juke,2013,99999.0,Automatic,245000,2022-05-17,50k-100k,26,9,221000,-14748.768472906406,0.31,0.042553191489361764,2022,5,17,2
5140,Nissan,Juke,2013,139999.0,Automatic,230000,2022-05-18,100k-150k,26,9,227800,-29748.768472906406,0.31,-0.061224489795918324,2022,5,18,2
5141,Nissan,Juke,2013,119999.0,Automatic,214000,2022-05-18,100k-150k,26,9,224600,-45748.768472906406,0.31,-0.06956521739130439,2022,5,18,2
